time ,contract ,period ,funding rate 
2019/9/21 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/21 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/20 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/20 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/20 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/19 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/19 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/19 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/18 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/18 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/18 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/17 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/17 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/17 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/16 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/16 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/16 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/15 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/15 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/15 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/14 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/14 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/14 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/13 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/13 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/13 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/12 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/12 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/12 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/11 16:00,BTCUSDT 永续,8hr,0.01%
2019/9/11 8:00,BTCUSDT 永续,8hr,0.01%
2019/9/11 0:00,BTCUSDT 永续,8hr,0.01%
2019/9/10 16:00,BTCUSDT 永续,8hr,0.01%
